show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type,date_added_year
81033086,Holiday Rush,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse",United States,2019-11-28,2019,TV-PG,94 min,"children & family movies, dramas",a widowed radio dj and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before christmas.,Movie,2019
80156799,Levius,director desconhecido,"Nobunaga Shimazaki, Junichi Suwabe, Takahiro Sakurai, Ayane Sakura, Hochu Otsuka, Daisuke Ono, Saori Hayami, Mamoru Miyano",Japan,2019-11-28,2019,TV-14,1 Season,"anime series, international tv shows",young levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. forces outside the ring have their eye on him.,TV Show,2019
81161538,Lugar de Mulher,director desconhecido,cast desconhecido,Brazil,2019-11-28,2019,TV-MA,1 Season,"international tv shows, stand-up comedy & talk shows, tv comedies","four comedians from brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.",TV Show,2019
80997965,Merry Happy Whatever,director desconhecido,"Dennis Quaid, Bridgit Mendler, Brent Morin, Ashley Tisdale, Siobhan Murphy, Adam Rose, Elizabeth Ho, Hayes MacArthur, Garcelle Beauvais, Tyler Ritter, Mason Davis, Lucas Jaye",United States,2019-11-28,2019,TV-PG,1 Season,tv comedies,"a struggling la musician tries to win over his new girlfriend's gruff dad and quirky, tight-knit siblings on a 10-day christmas visit to philadelphia.",TV Show,2019
81018979,Mythomaniac,director desconhecido,"Marina Hands, Mathieu Demy, Marie Drion, Jérémy Gillet, Zélie Rhixon, Yves Jacques, Jean-Charles Clichet, Julia Faure, Andrea Roncato, Linh Dan Pham",France,2019-11-28,2019,TV-MA,1 Season,"international tv shows, tv comedies, tv dramas","burned out and taken for granted, a working mom suspects her partner is cheating, so to win back his attentions, she feigns a medical diagnosis.",TV Show,2019
60020826,The Score,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Gary Farmer, Paul Soles, Jamie Harrold, Serge Houde","Germany, Canada, United States",2019-11-28,2001,R,124 min,"dramas, thrillers","ready-to-retire safecracker nick, flamboyant fence max and talented but volatile thief jackie team up to rob the montreal customs house.",Movie,2019
81002391,Broken,director desconhecido,cast desconhecido,United States,2019-11-27,2019,TV-14,1 Season,docuseries,this investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.,TV Show,2019
70101696,Defiance,Edward Zwick,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, George MacKay, Iben Hjejle, Martin Hancock, Jacek Koman, Ravil Isyanov",United States,2019-11-27,2008,R,137 min,"action & adventure, dramas","in this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 jewish refugees during world war ii.",Movie,2019
81194544,Evvarikee Cheppoddu,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,2019-11-27,2019,TV-14,134 min,"comedies, international movies, romantic movies","when caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",Movie,2019
80995081,Little Singham: Mahabali,Prakash Satam,"Saumya Daan, Sonal Kaushal, Anamaya Verma, Ganesh Divekar, Neshma Chemburkar",country desconhecido,2019-11-27,2019,TV-Y7,69 min,"children & family movies, comedies","in a journey back in time to the ancient city of mirchigadh, little singham vies for the title of ultimate warrior and fights a zombie king’s army.",Movie,2019
81177504,The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese","Canada, Norway",2019-11-27,2019,TV-MA,106 min,"dramas, independent movies","after a traumatic event, two indigenous women in vancouver are brought together and form a deep bond despite leading different lives.",Movie,2019
80175798,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci, Welker White, Jesse Plemons, Jack Huston, Domenick Lombardozzi, Louis Cancelmi, Paul Herman, Gary Basaraba, Marin Ireland, Sebastian Maniscalco, Steven Van Zandt",United States,2019-11-27,2019,R,209 min,dramas,hit man frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family in this acclaimed film from martin scorsese.,Movie,2019
81062293,Mike Birbiglia: The New One,Seth Barrish,Mike Birbiglia,United States,2019-11-26,2019,TV-MA,86 min,stand-up comedy,comedian mike birbiglia hits broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,Movie,2019
80235524,Super Monsters Save Christmas,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero, Brian Drummond",United States,2019-11-26,2019,TV-Y,24 min,children & family movies,"it's christmas eve in pitchfork pines, and the super monsters are joining forces to deck the halls, find santa's missing reindeer and save the holiday!",Movie,2019
81204911,The Crime,director desconhecido,"Magdalena Boczarska, Wojciech Zieliński, Joanna Kulig, Radosław Pazura, Magdalena Zawadzka, Dorota Kolak, Zdzislaw Wardejn, Małgorzata Rożniatowska, Aleksandra Popławska, Lukasz Nowicki, Tamara Arciuch, Rafał Cieszyński, Karolina Kominek",Poland,1900-01-01,2015,TV-14,2 Seasons,"crime tv shows, international tv shows, tv dramas",the peaceful lives of the residents inhabiting a breathtaking seaside town are shaken following a series of macabre crimes.,TV Show,1900
81035121,True: Winter Wishes,director desconhecido,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",country desconhecido,2019-11-26,2019,TV-Y,46 min,movies,"an ice crystal from a frosty realm is freezing everything in the rainbow kingdom, its citizens too! can true save winter wishfest – and her friends?",Movie,2019
81140259,Zona Rosa,director desconhecido,"Manu NNa, Ana Julia Yeyé, Ray Contreras, Pablo Morán",Mexico,2019-11-26,2019,TV-MA,1 Season,"international tv shows, spanish-language tv shows, stand-up comedy & talk shows",an assortment of talent takes the stage for a night of honest stand-up featuring four of mexico's funniest lgbtq comedians.,TV Show,2019
80241855,Dirty John,director desconhecido,"Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel",United States,2019-11-25,2018,TV-14,1 Season,"crime tv shows, tv dramas, tv mysteries",businesswoman debra newell's life unravels when she falls for the lies and manipulation of con man john meehan. based on the true-crime podcast.,TV Show,2019
81215481,Pranaam,Sanjiv Jaiswal,"Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",India,2019-11-25,2019,TV-MA,117 min,"action & adventure, dramas, international movies","aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",Movie,2019
81005044,What the F* Is Going On?,"Marta Jaenes, Rosa Márquez",cast desconhecido,country desconhecido,2019-11-25,2019,TV-MA,87 min,"documentaries, international movies","featuring extensive interviews, this documentary takes a critical look at the gender inequality in spain as the feminist movement aims to shift reality.",Movie,2019
81218079,Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,2019-11-24,2019,TV-MA,92 min,thrillers,"after an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.",Movie,2019
60028294,Popeye,Robert Altman,"Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley, Paul L. Smith, Richard Libertini, Donald Moffat, Macintyre Dixon, Roberta Maxwell, Donovan Scott",United States,2019-11-24,1980,PG,114 min,"action & adventure, children & family movies, comedies","during a storm that wrecks his ship, super-strong sailor popeye washes ashore and winds up rooming at the oyl household, where he meets olive.",Movie,2019
80125671,Shot Caller,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal, Emory Cohen, Jeffrey Donovan, Evan Jones, Benjamin Bratt, Holt McCallany",United States,2019-11-24,2017,R,121 min,"dramas, thrillers","trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",Movie,2019
80198001,Strong Girl Bong-soon,director desconhecido,"Park Bo-young, Park Hyung-sik, Ji Soo, Shim Hye-jin, Yu Jae-myeong, Jeon Seok-ho, Im Won-hee, Kim Won-hae",South Korea,2019-11-24,2017,TV-14,1 Season,"crime tv shows, international tv shows, korean tv shows","born with supernatural strength, bong-soon fights evil and procures justice while getting tangled in a love triangle with her ceo boss and cop crush.",TV Show,2019
60020948,Charlotte's Web,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,2019-11-23,1973,G,94 min,"children & family movies, classic movies","follow the adventures of wilbur the pig, templeton the rat and charlotte the spider in this animated musical version of e.b. white's timeless story.",Movie,2019
70235384,End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",United States,2019-11-23,2012,R,109 min,action & adventure,"officers taylor and zavala patrol the streets of south central los angeles, an area of the city ruled by gangs and riddled with drug violence.",Movie,2019
569355,Hamburger Hill,John Irvin,"Anthony Barille, Michael Boatman, Don Cheadle, Michael Dolan, Don James, Dylan McDermott, Michael A. Nickles, Harry O'Reilly, Daniel O'Shea, Tim Quill, Tommy Swerdlow, Courtney B. Vance, Steven Weber, Tegan West",United States,2019-11-23,1987,R,110 min,"action & adventure, dramas",the vietnam war's horrors come brutally to life through the eyes of american soldiers trying to take a heavily fortified hill under vietcong control.,Movie,2019
81208888,Once Upon A Time In Lingjian Mountain,director desconhecido,"Xu Kai, Sandrine Pinna, Ryan Zhu, Gao Yuer, Cristy Guo, He Wenjun, Zheng Yawen, Li Junhao, Roger Kwok, James Wen",China,2019-11-23,2019,TV-PG,1 Season,"international tv shows, tv comedies, tv sci-fi & fantasy","as the nine continents face a crisis, a young disciple joins the spirit blade sect and comes under the tutelage of a temperamental sage.",TV Show,2019
60022645,The Time Machine,Simon Wells,"Guy Pearce, Samantha Mumba, Jeremy Irons, Mark Addy, Sienna Guillory, Phyllida Law, Alan Young, Omero Mumba, Yancey Arias, Orlando Jones","United States, United Arab Emirates",2019-11-23,2002,PG-13,96 min,"action & adventure, sci-fi & fantasy","based on the h.g. wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.",Movie,2019
80198859,Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019-11-22,2019,TV-MA,97 min,"dramas, independent movies, international movies","thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",Movie,2019
80216180,Dino Girl Gauko,director desconhecido,"Naoko Matsui, Hiroshi Kamiya, Kazue Ikura, Chafurin, Chie Kojiro, Mari Mashiba, Ryoko Shiraishi, Hidekatsu Shibata, Tadashi Miyazawa, Sonosuke Hattori, Karen, Yui Toita, Izu Konishi, Eri Ozaki, Risa Nakamura, Tomoyo Chujo, Takuro Hijioka, Sawako Yoshida, Chika Okubo, Yuri Fujiwara, Tomomi Yamakawa, Hikaru Yuki, Miyako Kobayashi, Mutsuki Arisawa, Koharu Nogata, Tomoka Kuzutani, Madoka Yokoyama, Madoka Hiraide, Ayako Takamura, Yuki Arimoto, Yuto Kazama, Arisa Takami, Chika Sakamoto","United States, Japan",2019-11-22,2019,TV-Y7-FV,1 Season,"anime series, kids' tv","when she gets angry, middle schooler naoko turns into fierce dinosaur gauko! thanks to friends, aliens and more, her life is full of wacky incidents.",TV Show,2019
80244846,Dolly Parton's Heartstrings,director desconhecido,"Dolly Parton, Julianne Hough, Kimberly Williams-Paisley, Dallas Roberts, Melissa Leo, Andy Mientus, Katie Stevens, Michael J. Willett, Aidan Langford, Ray McKinnon, Delta Burke, Gerald McRaney, Ben Lawson, Brooke Elliott, Michele Weaver, Tim Reid, Sarah Shahi, Rochelle Aytes, Jessica Collins, Tammy Lynn Michaels, Robert Taylor, Holly Taylor, Shane Paul McGhie, Mary Lane Haskell, Camryn Manheim, Bellamy Young, Patricia Wettig, Timothy Busfield, Tom Brittney, Virginia Gardner, Colin O'Donoghue, Willa Fitzgerald, David Denman, Vanessa Rubio, Mac Davis, Kathleen Turner, Ginnifer Goodwin, Kyle Bornheimer, Tyler Crumley, Mary Donnelly Haskell, Ed Amatrudo",United States,2019-11-22,2019,TV-14,1 Season,tv dramas,"eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by dolly parton's iconic country music catalog.",TV Show,2019
80159876,Girls und Panzer der Film,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda, Mika Kikuchi, Maya Yoshioka",Japan,2019-11-22,2015,TV-14,121 min,"action & adventure, anime features, international movies",the girls of ōarai high must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.,Movie,2019
80233258,High Seas,director desconhecido,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín, Chiqui Fernández, Tamar Novas, Daniel Lundh, Manuela Vellés, Natalia Rodríguez, Laura Prats, Ignacio Montes, Begoña Vargas, Luis Bermejo, Pepe Ocio, Ben Temple, Félix Gómez, Antonio Durán 'Morris', Eduardo Blanco, José Sacristán",Spain,1900-01-01,2019,TV-MA,2 Seasons,"crime tv shows, international tv shows, spanish-language tv shows",two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from spain to brazil in the 1940s.,TV Show,1900
70091304,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,director desconhecido,Mike Birbiglia,United States,2019-11-22,2008,TV-14,56 min,stand-up comedy,mike birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,Movie,2019
81019894,Nailed It! Holiday!,director desconhecido,"Nicole Byer, Jacques Torres",United States,1900-01-01,2019,TV-PG,2 Seasons,reality tv,"it's the ""nailed it!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",TV Show,1900
81169145,Narcoworld: Dope Stories,director desconhecido,cast desconhecido,United States,2019-11-22,2019,TV-MA,1 Season,"crime tv shows, docuseries","ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.",TV Show,2019
80244700,Nobody's Looking,director desconhecido,"Victor Lamoglia, Júlia Rabello, Kéfera Buchmann, Augusto Madeira, Danilo de Moura, Leandro Ramos, Telma Souza, Priscila Sol, Wallie Ruy, Maurício de Barros, Hermínio Ribeiro",Brazil,2019-11-22,2019,TV-MA,1 Season,"international tv shows, tv comedies, tv dramas","a new guardian ""angelus"" uncovers a secret behind the angelus system's bureaucracy that leads him to break its official rules about protecting humans.",TV Show,2019
81218074,Shelby American,"Nate Adams, Adam Carolla",Carroll Shelby,United States,2019-11-22,2019,TV-14,119 min,"documentaries, sports movies","featuring interviews and vintage footage, this documentary traces american icon carroll shelby's life of reinvention from farmer to racer to entrepreneur.",Movie,2019
80245262,Singapore Social,director desconhecido,"Nicole Ong, Mae Tan, Sukki Singapora, Vinny Sharp, Paul Foster, Tabitha Nauser","Singapore, United States",2019-11-22,2019,TV-MA,1 Season,"international tv shows, reality tv","peer into the lives of young singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.",TV Show,2019
80212245,The Dragon Prince,director desconhecido,"Jack De Sena, Paula Burrows, Sasha Rojen, Jason Simpson, Racquel Belmonte, Jesse Inocalla, Luc Roderique, Jonathan Holmes, Adrian Petriw","United States, Canada",1900-01-01,2019,TV-Y7-FV,3 Seasons,"kids' tv, tv action & adventure, tv sci-fi & fantasy",an extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,TV Show,1900
80117560,Trolls: The Beat Goes On!,director desconhecido,"Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff",United States,1900-01-01,2019,TV-G,8 Seasons,"kids' tv, tv comedies","as queen poppy welcomes a new time of peace in troll village with parties, sports and holiday celebrations, branch tries to be more fun-loving.",TV Show,1900
60023606,K-19: The Widowmaker,Kathryn Bigelow,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","United Kingdom, Germany, Canada, United States",2019-11-21,2002,PG-13,138 min,"action & adventure, dramas","on board russia's first nuclear ballistic submarine, capt. vostrikov must race against time to prevent a chernobyl-like explosion.",Movie,2019
80241539,Mortel,director desconhecido,"Carl Malapa, Nemo Schiffman, Manon Bresch, Corentin Fila, Anaïs Thomas, Firmine Richard, Raphaëlle Agogué, Marvin Dubart, Léa Léviant, Assa Sylla, Stéphane Brel",France,2019-11-21,2019,TV-MA,1 Season,"crime tv shows, international tv shows, tv dramas","after making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder.",TV Show,2019
81026188,The Knight Before Christmas,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock",United States,2019-11-21,2019,TV-14,93 min,"children & family movies, comedies, romantic movies","medieval magic sends a 14th-century knight to modern-day ohio, where he falls for a high school science teacher who's disillusioned by love.",Movie,2019
70267398,Adore,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Australia, France",2019-11-20,2013,R,111 min,"dramas, independent movies, international movies","when lifelong friends roz and lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",Movie,2019
81152643,Bangkok Buddies,director desconhecido,"Vayu Kessuvit, Ekapol Deebunmee, Nuttapong Boonyuen, Thanadol Auepongs, Martin Sidel, Nichaphat Chatchaipholrat, Narupornkamol Chaisang, Jidapa Siribunchawan, Hortnarong Teng, Everest Moe, Le Trung Hieu",country desconhecido,2019-11-20,2019,TV-14,1 Season,"international tv shows, tv comedies, tv dramas","living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.",TV Show,2019
80108983,Be Somebody,Joshua Caldwell,"Matthew Espinosa, Sarah Jeffery, Allison Paige, Tava Smiley, Caitlin Keats, LaMonica Garrett, Mahaley Patel, Mason McCulley, Liana Ramirez",United States,2019-11-20,2016,PG,88 min,"comedies, dramas, romantic movies","to escape the stress of fame, teen pop star jordan goes incognito in a small town, where he forms a special bond with high school art student emily.",Movie,2019
292118,Beavis and Butt-head Do America,Mike Judge,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman",United States,2019-11-20,1996,PG-13,81 min,"comedies, cult movies","after realizing that their boob tube is gone, beavis and butt-head set off on an expedition that takes them from las vegas to the nation's capital.",Movie,2019
70003046,Bebe's Kids,Bruce W. Smith,"Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter",United States,2019-11-20,1992,PG-13,73 min,comedies,"when ladies' man robin meets jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend bebe's three kids.",Movie,2019
80221584,"Bikram: Yogi, Guru, Predator",Eva Orner,Bikram Choudhury,United States,2019-11-20,2019,TV-MA,86 min,documentaries,this documentary charts the rise and fall of hot yoga founder bikram choudhury as his global empire is born and disturbing revelations come to light.,Movie,2019
70053833,Black Snake Moan,Craig Brewer,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams",United States,2019-11-20,2007,R,116 min,"dramas, independent movies","lazarus finds rae beaten and near death, and acts as a father figure to help redeem her. but before saving anyone, lazarus must face his own demons.",Movie,2019
70122722,Carriers,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,2019-11-20,2009,PG-13,85 min,"horror movies, sci-fi & fantasy, thrillers","as a lethal virus spreads globally, four friends seek a reputed plague-free haven. but while avoiding the infected, the travelers turn on one another.",Movie,2019
81217738,Dorasaani,KVR Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,2019-11-20,2019,TV-14,134 min,"dramas, international movies, romantic movies",a village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,Movie,2019
